dim_1,dim_2,class_name,split
29.770353,-21.76733,calibrador,train
27.592817,-24.969145,calibrador,train
-7.9717093,-35.46758,calibrador,train
22.62722,-18.353184,calibrador,val
16.714773,-28.266905,calibrador,train
35.057266,-19.471342,calibrador,train
-23.95646,15.486223,calibrador,train
27.08014,-8.021547,calibrador,train
30.611853,-23.901237,calibrador,train
17.559534,-22.923592,calibrador,train
9.936063,15.82164,calibrador,train
33.81837,-10.844953,calibrador,train
-0.94856054,-32.66741,calibrador,train
-23.953123,15.48888,calibrador,val
-5.864507,-0.1230577,calibrador,train
49.47422,-13.692407,calibrador,train
17.080458,-52.480515,calibrador,train
-2.79168,19.03995,calibrador,train
5.7035375,-24.518957,calibrador,train
-4.0673156,7.542532,calibrador,train
33.68681,25.832485,calibrador,val
21.170887,-24.975918,calibrador,train
28.256117,-45.80577,calibrador,test
21.46607,30.197178,calibrador,test
4.0364256,33.08745,calibrador,test
4.275585,33.063747,calibrador,train
-0.8523495,-11.4368515,calibrador,train
35.738518,-16.268272,calibrador,val
4.330902,-22.917461,calibrador,train
4.4993196,-22.969698,calibrador,val
4.0974684,-20.256485,calibrador,train
12.110652,-20.19841,calibrador,train
12.225622,-20.08809,calibrador,train
28.268805,-45.478996,calibrador,train
23.980555,-22.452435,calibrador,train
-6.727346,6.209948,calibrador,train
-0.6866215,-33.12944,calibrador,val
-3.4186897,-2.739232,calibrador,train
18.620327,-4.7150073,calibrador,train
34.904285,15.62227,calibrador,train
-33.529255,20.73217,calibrador,train
-11.731265,-7.799164,calibrador,train
-11.643136,-7.837589,calibrador,train
-1.2593728,16.91656,calibrador,train
34.101704,-11.225009,calibrador,test
4.183723,-14.756714,calibrador,train
-0.97409177,-32.363552,calibrador,train
39.054817,-10.921958,calibrador,test
-28.306284,-26.668552,calibrador,val
-10.475542,-2.241243,calibrador,train
17.019016,-54.566162,calibrador,test
5.314001,40.88015,calibrador,test
5.312804,40.883617,calibrador,test
-5.7870665,14.764068,calibrador,train
-12.5726185,2.454993,calibrador,train
-6.2524824,-5.3577313,calibrador,train
