dim_1,dim_2,dim_3,class_name,split
4.399152,-11.670975,4.0837326,alicate_corte,train
6.442475,-10.845607,3.0747244,alicate_corte,train
5.7512546,-11.609041,3.550306,alicate_corte,train
5.977733,-11.657464,2.444685,alicate_corte,test
4.213319,-11.573578,3.9101582,alicate_corte,train
6.1450577,-11.732588,2.4461195,alicate_corte,val
5.2827706,-9.75933,3.621408,alicate_corte,train
4.4361634,-11.590707,3.794781,alicate_corte,train
5.140552,-11.110882,2.976121,alicate_corte,train
5.4139624,-12.217867,3.3237202,alicate_corte,train
6.327146,-10.864656,2.666142,alicate_corte,train
4.4926143,-9.627267,3.0507703,alicate_corte,train
6.820842,-9.770319,3.9422424,alicate_corte,train
7.1105914,-10.638327,2.7303438,alicate_corte,test
4.9224987,-11.265688,3.6999264,alicate_corte,train
6.776276,-10.481378,3.9575186,alicate_corte,train
5.211139,-9.703697,2.6345453,alicate_corte,train
7.320717,-11.215437,2.0736616,alicate_corte,train
6.503207,-10.73866,3.5762165,alicate_corte,train
5.7004304,-10.233227,2.198136,alicate_corte,val
6.3579135,-10.866049,2.3660686,alicate_corte,train
5.0892706,-11.125182,2.5483205,alicate_corte,train
15.118475,-5.583926,-1.8614819,alicate_corte,test
6.2611413,-12.029753,3.1923954,alicate_corte,val
6.2583838,-12.165151,3.250814,alicate_corte,train
7.0424037,-10.306012,2.8625565,alicate_corte,val
6.3140054,-12.156027,3.1801274,alicate_corte,train
6.465642,-10.74645,2.3762517,alicate_corte,train
4.626202,-10.281039,4.5557504,alicate_corte,train
5.4871693,-11.477339,2.5801897,alicate_corte,train
6.332988,-11.6204815,2.4955025,alicate_corte,test
6.4524717,-10.977969,2.8340158,alicate_corte,train
6.6143794,-9.780978,3.4612913,alicate_corte,train
7.1158857,-11.855572,2.9773607,alicate_corte,train
6.1670513,-11.58569,2.389774,alicate_corte,test
3.913208,-10.431881,3.5535917,alicate_corte,train
6.5793247,-10.561672,3.214061,alicate_corte,train
4.349972,-9.655159,3.514799,alicate_corte,train
5.613975,-11.556898,3.6592488,alicate_corte,train
5.4883327,-11.41325,3.557222,alicate_corte,val
4.9721665,-11.585131,4.112352,alicate_corte,val
4.2161984,-11.0639,3.3167677,calibrador,train
4.8558216,-9.823511,3.892769,calibrador,train
4.4149513,-10.239202,3.1771727,calibrador,test
4.906059,-10.267586,3.978851,calibrador,train
3.9762197,-11.357661,3.9353755,calibrador,train
5.2410364,-10.036485,3.1574337,calibrador,train
4.2300544,-11.127711,4.199852,calibrador,train
5.657843,-10.320151,3.0746846,calibrador,val
4.0253067,-10.398326,2.5444999,calibrador,val
4.3196993,-10.596206,2.665858,calibrador,train
4.6685066,-10.649173,2.444839,calibrador,train
5.345319,-10.420368,3.2685838,calibrador,train
3.8166568,-10.47334,3.6610014,calibrador,train
5.1540136,-11.495324,4.006204,calibrador,train
4.4419084,-10.693942,3.3241653,calibrador,train
4.6484103,-11.361934,3.6373208,calibrador,train
4.9452844,-10.775902,1.695528,calibrador,train
4.2968674,-10.965795,3.2646546,calibrador,train
4.4892817,-10.781492,3.3705075,calibrador,train
5.8674135,-10.508298,3.5237958,calibrador,train
4.765424,-10.808861,3.491861,calibrador,val
4.3116736,-10.776273,3.5695493,calibrador,train
5.069572,-11.527036,3.195785,calibrador,train
5.4973035,-9.772024,3.0507588,calibrador,test
4.302109,-11.230521,3.7800722,calibrador,train
4.220972,-11.12418,3.7960644,calibrador,train
4.5434523,-10.682782,2.222797,calibrador,train
4.5473924,-10.649969,2.2873247,calibrador,train
4.623362,-10.423096,3.5162868,calibrador,val
4.5879283,-10.220967,3.5433788,calibrador,train
6.6914024,-10.952932,2.7999854,calibrador,train
4.91018,-10.617245,3.0462565,calibrador,val
3.8171103,-10.501456,3.6471057,calibrador,val
5.867548,-10.188089,4.424893,calibrador,train
4.7136626,-10.847114,3.6172547,calibrador,train
6.1252747,-10.502158,3.4773812,calibrador,train
4.7045774,-10.409724,2.9057014,calibrador,train
5.509689,-11.232671,2.562202,calibrador,test
4.927924,-10.876353,3.427505,calibrador,val
5.436542,-11.329576,3.365865,calibrador,train
4.6139956,-11.23226,4.0896215,calibrador,train
4.7288284,-10.699292,3.5022655,calibrador,train
4.5051956,-11.365884,4.2722797,calibrador,train
5.1092176,-10.897812,4.778189,calibrador,train
